stage,difficulty,loop,noteId,noteType,phraseRole,enemyCue,noteTimeMs,durationMs,noteEndMs,trackTimeMs,nearestBeatMs,nearestSubdivisionMs,signedBeatOffsetMs,signedSubdivisionOffsetMs,signedChartGridOffsetMs,barIndex,beatInBar,chartSubdivisionSupportRatio,beatSupportRatio,timingWarning,droppedFromSpacing
shotengai,easy,1,easy-l1-0001,tap,call,true,1293,0,1293,1293,1020,1319,273,-26,0,0,1,0.927,0.695,shotengai: beat support warning 69.5%,no
shotengai,easy,1,easy-l1-0002,hold,tame,false,2486,682,3168,2486,2383,2512,103,-26,0,0,3,0.927,0.695,shotengai: beat support warning 69.5%,no
shotengai,easy,1,easy-l1-0003,tap,answer,false,3509,0,3509,3509,3747,3535,-238,-26,0,1,1,0.927,0.695,shotengai: beat support warning 69.5%,no
shotengai,easy,1,easy-l1-0004,tap,answer,false,4361,0,4361,4361,4429,4387,-68,-26,0,1,2,0.927,0.695,shotengai: beat support warning 69.5%,no
shotengai,easy,1,easy-l1-0005,tap,kobushi,false,5043,0,5043,5043,5111,5069,-68,-26,0,1,3,0.927,0.695,shotengai: beat support warning 69.5%,no
shotengai,easy,1,easy-l1-0006,hold,tame,false,6236,682,6918,6236,6474,6262,-238,-26,0,2,1,0.927,0.695,shotengai: beat support warning 69.5%,no
shotengai,easy,1,easy-l1-0007,tap,answer,false,7259,0,7259,7259,7156,7285,103,-26,0,2,2,0.927,0.695,shotengai: beat support warning 69.5%,no
shotengai,easy,1,easy-l1-0008,mash,kobushi,false,8111,1193,9304,8111,7838,8137,273,-26,0,2,3,0.927,0.695,shotengai: beat support warning 69.5%,no
shotengai,easy,1,easy-l1-0009,tap,answer,false,9986,0,9986,9986,9883,10012,103,-26,0,3,2,0.927,0.695,shotengai: beat support warning 69.5%,no
shotengai,easy,1,easy-l1-0010,hold,tame,false,10838,682,11520,10838,10565,10865,273,-27,0,3,3,0.927,0.695,shotengai: beat support warning 69.5%,no
shotengai,easy,1,easy-l1-0011,tap,answer,false,11861,0,11861,11861,11929,11887,-68,-26,0,4,1,0.927,0.695,shotengai: beat support warning 69.5%,no
shotengai,easy,1,easy-l1-0012,tap,kobushi,false,12713,0,12713,12713,12611,12740,102,-27,0,4,2,0.927,0.695,shotengai: beat support warning 69.5%,no
shotengai,easy,1,easy-l1-0013,tap,answer,false,13736,0,13736,13736,13974,13762,-238,-26,0,5,0,0.927,0.695,shotengai: beat support warning 69.5%,no
shotengai,easy,1,easy-l1-0014,hold,tame,false,14588,682,15270,14588,14656,14615,-68,-27,0,5,1,0.927,0.695,shotengai: beat support warning 69.5%,no
shotengai,easy,1,easy-l1-0015,tap,answer,false,15611,0,15611,15611,15338,15637,273,-26,0,5,2,0.927,0.695,shotengai: beat support warning 69.5%,no
shotengai,easy,1,easy-l1-0016,tap,call,true,16463,0,16463,16463,16702,16490,-239,-27,0,6,0,0.927,0.695,shotengai: beat support warning 69.5%,no
shotengai,easy,1,easy-l1-0017,hold,tame,false,17486,682,18168,17486,17383,17512,103,-26,0,6,1,0.927,0.695,shotengai: beat support warning 69.5%,no
