creature_id,display_name,body,trait,cost,attack,hp,speed,weird,ability_name
"001-001","双爺","爺","爺","4","3","6","3","4","爺化爺体"
"001-002","爺婆","婆","爺","4","3","6","4","4","爺化婆体"
"001-003","爺番長","番長","爺","4","3","6","4","4","爺化番長体"
"001-004","爺忍者","忍者","爺","4","3","6","4","4","爺化忍者体"
"001-005","爺侍","侍","爺","4","3","6","4","4","爺化侍体"
"001-006","爺博士","博士","爺","4","3","6","4","4","爺化博士体"
"001-007","爺王様","王様","爺","4","3","6","4","4","爺化王様体"
"001-008","爺姫","姫","爺","4","3","6","4","4","爺化姫体"
"001-009","爺僧侶","僧侶","爺","4","3","6","4","4","爺化僧侶体"
"001-010","爺商人","商人","爺","4","3","6","4","4","爺化商人体"
"001-011","爺受験","受験","爺","4","2","6","3","6","爺化受験体"
"001-012","爺宿題","宿題","爺","4","2","6","3","6","爺化宿題体"
"001-013","爺赤点","赤点","爺","4","2","6","3","6","爺化赤点体"
"001-014","爺合格","合格","爺","4","2","6","3","6","爺化合格体"
"001-015","爺部活","部活","爺","4","2","6","3","6","爺化部活体"
"001-016","爺文化祭","文化祭","爺","4","2","6","3","6","爺化文化祭体"
"001-017","爺校長","校長","爺","4","2","6","3","6","爺化校長体"
"001-018","爺黒板","黒板","爺","4","2","6","3","6","爺化黒板体"
"001-019","爺消しゴム","消しゴム","爺","4","2","6","3","6","爺化消しゴム体"
"001-020","爺給食","給食","爺","4","2","6","3","6","爺化給食体"
"001-021","爺コブシ","コブシ","爺","5","6","5","3","3","爺熟練"
"001-022","爺牙","牙","爺","5","6","5","3","3","爺熟練"
"001-023","爺角","角","爺","5","6","5","3","3","爺熟練"
"001-024","爺翼","翼","爺","5","6","5","3","3","爺熟練"
"001-025","爺尻尾","尻尾","爺","5","6","5","3","3","爺熟練"
"001-026","爺目玉","目玉","爺","5","6","5","3","3","爺熟練"
"001-027","爺背骨","背骨","爺","5","6","5","3","3","爺熟練"
"001-028","爺鎧","鎧","爺","5","6","5","3","3","爺熟練"
"001-029","爺鉄球","鉄球","爺","5","6","5","3","3","爺熟練"
"001-030","爺大砲","大砲","爺","5","6","5","3","3","爺熟練"
"001-031","爺火山","火山","爺","5","4","5","5","5","爺化火山体"
"001-032","爺雷","雷","爺","5","4","5","5","5","爺化雷体"
"001-033","爺嵐","嵐","爺","5","4","5","5","5","爺化嵐体"
"001-034","爺雪","雪","爺","5","4","5","5","5","爺化雪体"
"001-035","爺砂漠","砂漠","爺","5","4","5","5","5","爺化砂漠体"
"001-036","爺森","森","爺","5","4","5","5","5","爺化森体"
"001-037","爺海","海","爺","5","4","5","5","5","爺化海体"
"001-038","爺月","月","爺","5","4","5","5","5","爺化月体"
"001-039","爺太陽","太陽","爺","5","4","5","5","5","爺化太陽体"
"001-040","爺星","星","爺","5","4","5","5","5","爺化星体"
"001-041","爺猫","猫","爺","5","4","5","6","3","爺化猫体"
"001-042","爺犬","犬","爺","5","4","5","6","3","爺化犬体"
"001-043","爺蛙","蛙","爺","5","4","5","6","3","爺化蛙体"
"001-044","爺鴉","鴉","爺","5","4","5","6","3","爺化鴉体"
"001-045","爺鯨","鯨","爺","5","4","5","6","3","爺化鯨体"
"001-046","爺蛇","蛇","爺","5","4","5","6","3","爺化蛇体"
"001-047","爺蜘蛛","蜘蛛","爺","5","4","5","6","3","爺化蜘蛛体"
"001-048","爺鮫","鮫","爺","5","4","5","6","3","爺化鮫体"
"001-049","爺狐","狐","爺","5","4","5","6","3","爺化狐体"
"001-050","爺亀","亀","爺","5","4","5","6","3","爺化亀体"
"001-051","爺怒り","怒り","爺","5","2","5","4","8","爺化怒り体"
"001-052","爺涙","涙","爺","5","2","5","4","8","爺化涙体"
"001-053","爺笑い","笑い","爺","5","2","5","4","8","爺化笑い体"
"001-054","爺眠り","眠り","爺","5","2","5","4","8","爺化眠り体"
"001-055","爺夢","夢","爺","5","2","5","4","8","爺化夢体"
"001-056","爺記憶","記憶","爺","5","2","5","4","8","爺化記憶体"
"001-057","爺勇気","勇気","爺","5","2","5","4","8","爺化勇気体"
"001-058","爺嘘","嘘","爺","5","2","5","4","8","爺化嘘体"
"001-059","爺影","影","爺","5","2","5","4","8","爺化影体"
"001-060","爺光","光","爺","5","2","5","4","8","爺化光体"
"001-061","爺鬼","鬼","爺","6","6","6","3","7","爺熟練"
"001-062","爺天狗","天狗","爺","6","5","6","4","7","爺化天狗体"
"001-063","爺河童","河童","爺","6","5","6","4","7","爺化河童体"
"001-064","爺幽霊","幽霊","爺","6","5","6","4","7","爺化幽霊体"
"001-065","爺妖精","妖精","爺","6","5","6","4","7","爺化妖精体"
"001-066","爺魔王","魔王","爺","6","5","6","4","7","爺化魔王体"
"001-067","爺勇者","勇者","爺","6","5","6","4","7","爺化勇者体"
"001-068","爺魔法","魔法","爺","6","5","6","4","7","爺化魔法体"
"001-069","爺呪い","呪い","爺","6","5","6","4","7","爺化呪い体"
"001-070","爺祈り","祈り","爺","6","5","6","4","7","爺化祈り体"
